menor;[[ 0.02587495]]
mayor;[[ 0.03172431]]
rp:;0.016;-;|[array([ 98, 190, 101, 371, 337, 123,  83,  72, 104, 284,  61, 142, 363,
       346,  54]), array([[ 0.02596015]])]|
rp:;0.016;-;[[ 0.02596015]]
rp:;0.017;-;[[ 0.02622766]]
rp:;0.018;-;[[ 0.02671911]]
rp:;0.019;-;[[ 0.02742245]]
rp:;0.02;-;[[ 0.0283219]]
rp:;0.021;-;[[ 0.02939948]]
rp:;0.022;-;[[ 0.03063638]]
rp:;0.023;-;[[ 0.03201416]]
rp:;0.024;-;[[ 0.03351543]]
rp:;0.025;-;[[ 0.03512437]]
rp:;0.026;-;[[ 0.03682686]]
rp:;0.027;-;[[ 0.03861055]]
rp:;0.028;-;[[ 0.04046468]]
rp:;0.029;-;[[ 0.04238002]]
rp:;0.03;-;[[ 0.04434863]]
rp:;0.031;-;[[ 0.04636373]]
rp:;0.032;-;[[ 0.04841952]]
rp:;0.033;-;[[ 0.05051102]]
rp:;0.034;-;[[ 0.05263399]]
rp:;0.035;-;[[ 0.05478475]]
rp:;0.036;-;[[ 0.05696018]]
rp:;0.037;-;[[ 0.05915753]]
rp:;0.038;-;[[ 0.06137447]]
rp:;0.039;-;[[ 0.06360893]]
rp:;0.04;-;[[ 0.06585914]]
rp:;0.041;-;[[ 0.06812354]]
rp:;0.042;-;[[ 0.07040076]]
rp:;0.043;-;[[ 0.07268958]]
rp:;0.044;-;[[ 0.07498896]]
rp:;0.045;-;[[ 0.07729795]]
rp:;0.046;-;[[ 0.0796157]]
rp:;0.047;-;[[ 0.08194149]]
rp:;0.048;-;[[ 0.08427464]]
rp:;0.049;-;[[ 0.08661456]]
rp:;0.05;-;[[ 0.08896071]]
rp:;0.051;-;[[ 0.09131261]]
rp:;0.052;-;[[ 0.09366984]]
rp:;0.053;-;[[ 0.09603199]]
rp:;0.054;-;[[ 0.09839872]]
rp:;0.055;-;[[ 0.10076969]]
rp:;0.056;-;[[ 0.10314463]]
rp:;0.057;-;[[ 0.10552326]]
rp:;0.058;-;[[ 0.10790533]]
rp:;0.059;-;[[ 0.11029062]]
rp:;0.06;-;[[ 0.11267894]]
rp:;0.061;-;[[ 0.11507009]]
rp:;0.062;-;[[ 0.11746389]]
rp:;0.063;-;[[ 0.11986019]]
rp:;0.064;-;[[ 0.12225885]]
rp:;0.065;-;[[ 0.12465972]]
rp:;0.066;-;[[ 0.12706268]]
rp:;0.067;-;[[ 0.12946761]]
rp:;0.068;-;[[ 0.13187441]]
rp:;0.069;-;[[ 0.13428298]]
rp:;0.07;-;[[ 0.13669321]]
rp:;0.071;-;[[ 0.13910504]]
rp:;0.072;-;[[ 0.14151836]]
rp:;0.073;-;[[ 0.14393312]]
rp:;0.074;-;[[ 0.14634923]]
rp:;0.075;-;[[ 0.14876664]]
rp:;0.076;-;[[ 0.15118528]]
rp:;0.077;-;[[ 0.15360508]]
rp:;0.078;-;[[ 0.15602601]]
rp:;0.079;-;[[ 0.158448]]
rp:;0.08;-;[[ 0.16087101]]
rp:;0.081;-;[[ 0.16329499]]
rp:;0.082;-;[[ 0.1657199]]
rp:;0.083;-;[[ 0.1681457]]
rp:;0.084;-;[[ 0.17057235]]
rp:;0.085;-;[[ 0.17299982]]
rp:;0.086;-;[[ 0.17542807]]
rp:;0.087;-;[[ 0.17785707]]
rp:;0.088;-;[[ 0.18028679]]
rp:;0.089;-;[[ 0.1827172]]
rp:;0.09;-;[[ 0.18514827]]
rp:;0.091;-;[[ 0.18757998]]
rp:;0.092;-;[[ 0.19001231]]
rp:;0.093;-;[[ 0.19244522]]
rp:;0.094;-;[[ 0.19487871]]
rp:;0.095;-;[[ 0.19731274]]
rp:;0.096;-;[[ 0.19974729]]
rp:;0.097;-;[[ 0.20218236]]
rp:;0.098;-;[[ 0.20461792]]
rp:;0.099;-;[[ 0.20705394]]
rp:;0.1;-;[[ 0.20949043]]
rp:;0.101;-;[[ 0.21192735]]
rp:;0.102;-;[[ 0.2143647]]
rp:;0.103;-;[[ 0.21680246]]
rp:;0.104;-;[[ 0.21924062]]
rp:;0.105;-;[[ 0.22167916]]
rp:;0.106;-;[[ 0.22411807]]
rp:;0.107;-;[[ 0.22655735]]
rp:;0.108;-;[[ 0.22899697]]
rp:;0.109;-;[[ 0.23143693]]
rp:;0.11;-;[[ 0.23387721]]
rp:;0.111;-;[[ 0.23631781]]
rp:;0.112;-;[[ 0.23875872]]
rp:;0.113;-;[[ 0.24119993]]
rp:;0.114;-;[[ 0.24364142]]
rp:;0.115;-;[[ 0.2460832]]
